Code,Name,Tags,Type,PostingPriority,PreloadDxBoxes3to20
E802.9,RW ACC W/DERAIL-UNS PERSON - E802.9,NULL,,0,NULL
E803.0,RW ACC W/EXPLOSION-EMPLOYEE - E803.0,NULL,,0,NULL
E803.1,RW ACC W/EXPLOSION-PASSENGER - E803.1,NULL,,0,NULL
E803.2,RW ACC W/EXPLOSION-PEDESTRIAN - E803.2,NULL,,0,NULL
E803.3,RW ACC W/EXPLOSION-PED CYCLIST - E803.3,NULL,,0,NULL
E803.8,RW ACC W/EXPLOSION-OTH PERSON - E803.8,NULL,,0,NULL
E803.9,RW ACC W/EXPLOSION-UNS PERSON - E803.9,NULL,,0,NULL
E804.0,FALL/FROM RW TRAIN INJR RW EMPLOYEE - E804.0,NULL,,0,NULL
E804.1,FALL/FROM RW TRAIN INJR PSGR RW - E804.1,NULL,,0,NULL
E804.2,FALL/FROM RW TRAIN INJR PEDSTRN - E804.2,NULL,,0,NULL
E804.3,FALL/RW TRAIN INJR PEDAL CYCLIST - E804.3,NULL,,0,NULL
E804.8,FALL/RW TRAIN INJR OTH SPEC PERS - E804.8,NULL,,0,NULL
E804.9,FALL/FROM RW TRAIN INJR UNSPEC PERS - E804.9,NULL,,0,NULL
E805.0,RAILWAY EMPLOYEE HIT ROLLING STOCK - E805.0,NULL,,0,NULL
E805.1,PASSENGER RAILWAY HIT ROLLING STOCK - E805.1,NULL,,0,NULL
E805.2,PEDESTRIAN HIT BY ROLLING STOCK - E805.2,NULL,,0,NULL
E805.3,PEDAL CYCLIST HIT BY ROLLING STOCK - E805.3,NULL,,0,NULL
E805.8,OTHER SPEC PERSON HIT ROLLING STOCK - E805.8,NULL,,0,NULL
E805.9,UNSPEC PERSON HIT ROLLING STOCK - E805.9,NULL,,0,NULL
E806.0,OTH SPEC RW ACC INJR RW EMPLOYEE - E806.0,NULL,,0,NULL
E806.1,OTH SPEC RW ACC INJR PSGR RW - E806.1,NULL,,0,NULL
E806.2,OTH SPEC RAILWAY ACC INJR PEDSTRN - E806.2,NULL,,0,NULL
E806.3,OTH SPEC RW ACC INJR PEDAL CYCLIST - E806.3,NULL,,0,NULL
E806.8,OTH SPEC RW ACC INJR OTH SPEC PERS - E806.8,NULL,,0,NULL
E806.9,OTH SPEC RW ACC INJR UNSPEC PERS - E806.9,NULL,,0,NULL
E807.0,RW ACC UNSPEC NATR INJR RW EMPLOYEE - E807.0,NULL,,0,NULL
E807.1,RW ACC UNSPEC NATR INJR PSGR RW - E807.1,NULL,,0,NULL
E807.2,RW ACC UNSPEC NATR INJR PEDSTRN - E807.2,NULL,,0,NULL
E807.3,RW ACC UNS NATR INJR PEDAL CYCLIST - E807.3,NULL,,0,NULL
E807.8,RW ACC UNS NATR INJR OTH SPEC PERS - E807.8,NULL,,0,NULL
E807.9,RW ACC UNSPEC NATR INJR UNSPEC PERS - E807.9,NULL,,0,NULL
E810.0,MOTR VEH COLL W/TRAIN-INJR DRIVER - E810.0,NULL,,0,NULL
E810.1,MOTR VEH COLL W/TRAIN- INJR PSGR - E810.1,NULL,,0,NULL
E810.2,MOTR VEH COLL W/TRAIN-MOTORCYCL - E810.2,NULL,,0,NULL
E810.3,MOTR VEH COLL W/TRAIN-MCYCL PSGR - E810.3,NULL,,0,NULL
E810.4,MOTR VEH COLL W/TRAIN-OCC ST CAR - E810.4,NULL,,0,NULL
E810.5,MOTR VEH COLL W/TRAIN-ANIM RIDER - E810.5,NULL,,0,NULL
E810.6,MOTR VEH COLL W/TRN INJR PEDL CYCLS - E810.6,NULL,,0,NULL
E810.7,MOTOR VEH COLL W/TRAIN INJR PEDSTRN - E810.7,NULL,,0,NULL
E810.8,MOTR VEH COLL W/TRN INJR OTH PERS - E810.8,NULL,,0,NULL
E810.9,MOTR VEH COLL W/TRAIN INJR UNS PERS - E810.9,NULL,,0,NULL
E811.0,MOTR VEH REENTRANT COLL-DRIVER - E811.0,NULL,,0,NULL
E811.1,MOTR VEH REENTRANT COLL-PASNGR - E811.1,NULL,,0,NULL
E811.2,MOTR VEH REENTRANT COLL-MOTCYCL - E811.2,NULL,,0,NULL
E811.3,MOTR VEH REENTRANT COLL-MCYC PSGR - E811.3,NULL,,0,NULL
E811.4,MOTR VEH REENTRANT COLL-ST CAR - E811.4,NULL,,0,NULL
E811.5,MOTR VEH REENTRANT COLL-ANIM RID - E811.5,NULL,,0,NULL
E811.6,MOTR VEH REENTRANT COLL-PED CYCL - E811.6,NULL,,0,NULL
E811.7,MOTR VEH REENTRANT COLL-PEDEST - E811.7,NULL,,0,NULL
E811.8,MOTR VEH REENTRANT COLL-OTH PERS - E811.8,NULL,,0,NULL
E811.9,MOTR VEH REENTRANT COLL-UNS PERS - E811.9,NULL,,0,NULL
E812.0,OTH MOTR VEH COLL W/MV-DRIVER - E812.0,NULL,,0,NULL
E812.1,OTH MOTR VEH COLL W/MV-PASNGR - E812.1,NULL,,0,NULL
E812.2,OTH MOTR VEH COLL W/MV-MTRCYCLST - E812.2,NULL,,0,NULL
E812.3,OTH MOTR VEH COLL W/MV-MC PSNGR - E812.3,NULL,,0,NULL
E812.4,OTH MOTR VEH COLL W/MV-ST CAR - E812.4,NULL,,0,NULL
E812.5,OTH MOTR VEH COLL W/MV-ANIM RID - E812.5,NULL,,0,NULL
E812.6,OTH MOTR VEH COLL W/MV-PED CYCL - E812.6,NULL,,0,NULL
